Country,Totallife2000,Malelife2000,Femalelife2000,Totallife2010,Malelife2010,Femalelife2010,Totallife2016,Malelife2016,Femalelife2016,S2000Rural,S2000Urban,S2000Total,W2000Rural,W2000Urban,W2000Total,S2010Rural,S2010Urban,S2010Total,W2010Rural,W2010Urban,W2010Total,S2016Rural,S2016Urban,S2016Total,W2016Rural,W2016Urban,W2016Total
Afghanistan,55.9,54.6,57.3,61.2,59.9,62.5,62.7,61,64.5,22,30,24,22,49,28,30,46,34,41,74,48,36,60,42,55,93,64
Albania,73.1,70.4,76,74.7,72.5,77,76.4,74.3,78.6,82,97,88,82,96,88,93,98,96,82,93,88,97,98,98,90,92,91
Algeria,70.8,69.4,72.2,75.4,74.4,76.4,76.4,75.4,77.4,72,91,84,83,94,90,79,90,87,87,95,92,82,90,88,89,95,94
Angola,47.3,45.2,49.5,58.4,56.1,60.7,62.6,60.3,64.9,8,48,28,21,61,41,17,57,41,25,68,50,22,63,49,27,71,55
Antigua and Barbuda,72.5,69.7,75.1,74.7,72.4,76.9,75,72.5,77.5,0,0,82,0,0,98,0,0,86,0,0,97,0,0,88,0,0,97
Argentina,74,70.2,77.7,75.7,72.3,79,76.9,73.5,80.3,69,89,87,76,99,96,75,94,93,90,99,98,77,96,94,93,100,99
Armenia,71.7,68.5,74.6,73.3,69.5,76.7,74.8,71.2,78.1,77,92,87,89,99,95,81,97,91,96,99,98,83,100,93,100,100,100
Australia,79.6,77,82.3,82,79.9,84.2,82.9,81,84.8,0,0,100,99,100,100,0,0,100,100,100,100,0,0,100,100,100,100
Austria,78.4,75.3,81.2,80.6,77.8,83.3,81.9,79.4,84.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,66.5,63.8,69,71.1,68.6,73.5,73.1,70.3,75.7,53,73,63,55,91,73,76,88,83,74,98,87,88,96,92,80,99,91
Bahamas,72,68.8,75.1,75.2,71.9,78.2,75.7,72.6,78.6,0,0,88,0,0,98,0,0,93,0,0,99,0,0,95,0,0,99
Bahrain,73.2,72.5,74.1,77.2,76.5,77.8,79.1,78.6,79.6,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
Bangladesh,65.5,65.2,65.7,69.9,68.9,71.1,72.7,71.1,74.4,20,44,26,94,99,95,35,49,39,96,98,96,45,50,47,97,97,97
Barbados,73.4,71,75.6,74.7,72.2,77.1,75.6,73.1,78,0,0,89,0,0,98,0,0,94,0,0,98,0,0,97,0,0,98
Belarus,68.3,62.8,74,70.2,64.4,76.2,74.2,68.8,79.2,96,90,92,99,99,99,96,95,95,98,97,98,96,98,98,98,96,96
Belgium,77.9,74.8,81,80.2,77.5,82.7,81.2,78.8,83.5,99,99,99,100,100,100,99,99,99,100,100,100,99,99,99,100,100,100
Belize,68.7,66.1,71.6,69.8,67.4,72.7,70.5,67.9,73.4,80,85,82,84,91,87,82,90,86,92,97,94,83,93,88,96,99,98
Benin,55.6,54,57.1,59.3,57.9,60.6,61.1,59.7,62.4,2,19,9,52,77,61,5,24,13,56,76,65,8,27,16,58,76,66
Bhutan,61.1,60.9,61.3,68.4,68.3,68.5,70.6,70.4,70.8,41,74,50,78,96,83,56,73,62,90,97,93,65,73,68,97,98,97
Bolivia (Plurinational State of),63.3,61.6,65.2,69.2,67.1,71.5,71.5,69.1,74,15,47,35,54,95,79,26,59,48,69,98,88,35,70,59,77,99,92
Bosnia and Herzegovina,74.3,71.3,77.1,76.1,73.5,78.6,77.3,74.8,79.8,93,98,95,96,99,97,92,99,95,97,96,97,92,99,95,97,95,96
Botswana,49.1,47.5,50.7,61.2,58.6,63.8,66.1,63.6,68.4,33,69,52,54,94,75,43,81,67,63,95,83,50,88,76,74,97,89
Brazil,69.9,66.1,73.9,73.3,69.7,77.1,75.1,71.4,78.9,36,81,73,74,98,94,50,88,82,83,99,96,59,92,87,88,99,98
Brunei Darussalam,73.7,72.3,75.1,76.5,75.2,77.8,76.4,75.3,77.6,0,0,0,0,0,100,0,0,96,0,0,100,0,0,0,0,0,100
Bulgaria,71.5,68.2,75,73.8,70.4,77.3,74.8,71.4,78.4,84,87,86,99,100,100,84,87,86,99,100,99,84,87,86,98,99,99
Burkina Faso,50.1,49.1,50.9,57,56.4,57.6,60.3,59.6,60.9,3,50,11,51,74,55,8,44,17,42,77,51,11,40,19,36,79,48
Burundi,51.4,49.6,53.3,57.6,56.3,58.8,60.1,58.5,61.8,46,41,45,48,82,51,46,43,46,53,87,57,46,42,46,56,89,60
Cabo Verde,69.4,67.7,70.8,71.8,70,73.5,73.2,71.1,75,22,56,40,70,86,79,46,70,61,71,90,83,60,79,72,74,93,86
Cambodia,57.7,55.3,60.1,67.1,65,69,69.4,67.3,71.2,2,46,10,47,76,52,28,75,38,62,88,68,46,94,57,71,96,77
Cameroon,49.4,48.4,50.3,55.4,54.2,56.5,58.1,56.7,59.4,27,56,40,38,85,59,21,56,39,39,80,60,18,56,39,39,77,60
Canada,79.3,76.7,81.8,81.6,79.4,83.6,82.8,80.9,84.7,99,100,100,98,99,99,99,100,100,99,99,99,99,99,99,99,100,99
Central African Republic,45.4,44.6,46.1,49.6,48.7,50.4,53,51.7,54.4,8,26,15,44,82,58,9,45,23,36,68,48,9,49,25,34,65,46
Chad,47.9,46.7,49.1,51.9,51,52.8,54.3,53.1,55.4,8,26,12,32,76,41,5,31,10,30,73,40,2,30,9,30,70,39
Chile,77.1,73.8,80.3,78.3,75.2,81.3,79.5,76.5,82.4,68,96,92,75,99,96,88,99,97,90,100,98,100,100,100,98,100,100
China,72.1,70.7,73.7,75.2,73.8,76.7,76.4,75,77.9,44,77,56,70,98,80,62,85,74,79,98,88,74,90,83,85,98,92
Colombia,71.1,66.9,75.6,73.5,69.9,77.3,75.1,71.5,78.8,49,79,72,71,98,91,65,87,82,80,99,95,75,92,89,86,100,97
Comoros,59.5,58,61,61.8,60.3,63.4,63.9,62.3,65.5,23,44,29,91,90,91,30,45,34,81,89,83,32,45,36,77,88,80
Congo,53.1,52.3,53.9,61.6,60.7,62.6,64.3,63,65.6,6,16,12,18,85,57,6,22,16,31,86,66,6,26,20,44,87,72
Costa Rica,77.4,74.8,80.2,78.3,75.6,81.1,79.6,77,82.2,89,97,93,87,99,94,92,97,96,95,100,98,95,98,98,100,100,100
C̫te d'Ivoire,49.2,48.3,50.2,52.5,51.6,53.5,54.6,53.6,55.7,7,39,21,56,91,71,13,43,27,57,89,72,17,46,31,58,88,73
Croatia,74.4,70.7,78,76.7,73.4,79.9,78.3,75,81.5,95,98,96,97,100,98,95,98,96,99,100,99,95,98,97,100,100,100
Cuba,76.6,74.5,79,78,75.9,80.2,79,76.8,81.3,73,92,87,80,97,93,85,92,90,86,97,95,95,92,93,90,97,95
Cyprus,77.4,75.3,79.7,79.8,77.3,82.3,80.7,78.4,83.1,100,100,100,100,100,100,99,100,100,100,100,100,99,100,99,100,100,100
Czechia,75,71.6,78.4,77.6,74.5,80.7,79.2,76.2,82.1,99,99,99,100,100,100,99,99,99,100,100,100,99,99,99,100,100,100
Democratic People's Republic of Korea,65.2,61,69,69.6,65.9,72.9,71.9,68.2,75.5,0,0,0,100,99,99,69,84,78,95,98,97,72,89,82,91,97,95
Democratic Republic of the Congo,51.7,50.4,53,57.8,56.3,59.2,60.5,58.9,62,20,23,21,16,68,34,19,23,21,20,69,40,18,23,20,23,69,43
Denmark,77.1,74.8,79.3,79.4,77.3,81.4,81.2,79.3,83.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Djibouti,57.4,55.8,59.1,61.6,60.1,63.2,63.8,62.2,65.5,12,58,47,55,82,76,15,67,55,50,83,76,19,75,62,48,84,76
Dominican Republic,69.7,67.1,72.6,72,69.1,75.1,73.5,70.6,76.7,71,82,78,79,96,90,73,85,81,86,97,94,73,86,84,90,98,97
Ecuador,72.7,69.8,75.7,75.3,72.5,78.3,76.5,74.1,78.9,54,80,70,70,90,82,71,86,81,78,96,90,81,91,87,83,100,94
Egypt,69.2,66.8,71.7,69.7,67.5,72.1,70.5,68.2,73,90,95,92,97,99,98,91,97,93,98,99,99,91,98,94,99,99,99
El Salvador,68.8,64.3,73.2,72.2,67.5,76.7,73.7,69,78.1,74,90,83,56,93,78,77,90,86,76,97,90,78,91,87,92,99,97
Equatorial Guinea,52.8,50.7,55.2,57,55.8,58.2,59.5,57.9,61.7,46,64,55,39,64,51,55,69,64,33,75,60,57,70,66,31,78,64
Eritrea,43.9,38.5,51.1,62.3,60.3,64.4,65,62.9,67.1,1,27,8,31,91,47,5,23,11,28,90,50,6,22,12,28,90,52
Estonia,70.9,65.5,76.2,75.9,70.9,80.5,77.8,73,82.1,99,100,100,97,100,99,99,99,99,99,100,100,99,99,99,99,100,100
Eswatini,48.6,46.5,50.6,51.5,48.9,53.8,57.7,55.1,59.9,45,68,50,43,87,53,55,58,55,54,93,63,61,51,58,60,97,69
Ethiopia,50.8,49.2,52.5,61.6,60,63.3,65.5,63.7,67.3,1,16,3,9,77,19,3,18,6,23,79,33,4,19,7,30,80,40
Fiji,67.7,65.3,70.3,69.1,66.4,72.2,69.9,67.1,73.1,70,90,80,91,99,95,85,93,89,90,98,94,95,95,95,89,98,94
Finland,77.8,74.3,81.1,80,76.8,83.2,81.4,78.7,84.2,99,99,99,100,100,100,99,99,99,100,100,100,99,99,99,100,100,100
France,79.1,75.5,82.7,81.4,78.2,84.5,82.9,80.1,85.7,99,99,99,100,100,100,99,99,99,100,100,100,99,99,99,100,100,100
Gabon,59.6,58.5,60.6,62.4,61.8,62.8,66.4,64.8,68.2,31,36,34,37,91,80,36,45,43,49,90,84,37,49,47,55,90,86
Gambia,56.2,55.2,57.4,59.9,58.8,61.1,61.9,60.6,63.3,64,51,58,68,83,75,41,47,44,65,86,77,30,45,39,63,87,78
Georgia,71.5,68,74.9,72.5,68.3,76.7,72.6,68.3,76.8,96,94,95,87,98,93,88,95,92,91,99,96,84,95,90,96,100,98
Germany,78.1,75,81,80.1,77.6,82.6,81,78.7,83.3,99,99,99,100,100,100,99,99,99,100,100,100,99,99,99,100,100,100
Ghana,57.4,56.7,58,61.2,60.3,62,63.4,62.5,64.4,4,14,9,54,78,64,8,19,14,62,86,74,11,23,18,67,92,80
Greece,78.3,75.6,81.1,80.5,78,83.1,81.2,78.7,83.7,94,98,97,99,100,100,97,99,98,100,100,100,98,99,99,100,100,100
Grenada,70.6,68.2,72.9,72.6,70.2,75.1,73.4,71,75.9,0,0,90,0,0,93,0,0,92,0,0,96,0,0,91,0,0,96
Guatemala,67.6,64.3,71,71,67.7,74.3,73.2,70.4,76,48,82,63,78,95,86,50,80,65,85,97,91,50,79,65,90,98,94
Guinea,51.4,51.1,51.6,57.2,56.5,57.8,59.8,59.4,60.2,3,24,9,53,84,63,11,30,17,52,85,63,16,33,22,49,86,62
Guinea-Bissau,52.7,51.7,53.6,56.8,55.7,57.8,59.8,58.4,61.2,4,25,12,41,74,53,7,32,17,49,81,62,8,37,20,53,84,67
Guyana,64.7,62.3,67.1,65.8,63.4,68.3,66.2,63.6,69,77,84,79,86,93,88,81,89,83,91,97,93,84,92,86,94,100,96
Haiti,58.1,56.3,60,36.2,33.2,40,63.5,61.3,65.7,11,28,17,40,85,56,18,37,27,42,85,62,23,43,34,43,85,65
Honduras,71.1,68.7,73.5,73.9,71.6,76.2,75.2,72.9,77.5,52,76,63,76,95,85,66,81,74,84,98,91,74,85,80,88,99,94
Hungary,71.9,67.6,76.2,74.4,70.5,78.2,76,72.3,79.4,99,98,98,100,100,100,99,98,98,100,100,100,99,98,98,100,100,100
Iceland,79.7,77.6,81.9,81.9,79.9,83.8,82.4,80.9,83.9,100,99,99,100,100,100,100,99,99,100,100,100,100,99,99,100,100,100
India,62.5,61.9,63.1,66.7,65.8,67.6,68.8,67.4,70.3,4,49,16,74,91,79,32,62,41,84,94,87,50,71,57,90,96,92
Indonesia,66.1,64.5,67.7,68,66,70.1,69.3,67.3,71.4,25,63,41,66,90,76,47,73,60,76,93,84,62,79,71,81,95,89
Iran (Islamic Republic of),70.1,69.1,71.2,74,72.6,75.5,75.7,74.6,76.9,79,92,87,90,98,95,79,92,88,89,98,95,79,92,88,89,97,95
Iraq,69.4,67.6,71.4,70.8,69,72.6,69.8,67.5,72.2,56,78,71,53,94,81,73,87,82,75,97,90,86,95,92,89,99,96
Ireland,76.4,73.9,79,80.9,78.7,82.9,81.5,79.7,83.4,92,88,90,97,97,97,93,89,91,98,97,97,94,89,91,98,97,97
Israel,78.3,76.1,80.4,81.8,79.8,83.6,82.3,80.3,84.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Italy,79.6,76.6,82.5,82,79.5,84.4,82.8,80.5,84.9,0,0,0,100,100,100,99,99,99,100,100,100,99,99,99,99,99,99
Jamaica,72.6,70,75.4,74.9,72.5,77.4,76,73.6,78.5,82,82,82,88,98,93,86,84,85,85,96,91,90,86,87,85,96,91
Japan,81.3,77.8,84.6,83,79.6,86.3,84.2,81.1,87.1,0,0,100,0,0,98,0,0,100,0,0,99,0,0,100,0,0,99
Jordan,71.7,70.4,73.2,73.4,71.9,75,74.3,72.7,76,98,99,98,98,100,99,97,98,98,98,99,99,96,98,97,98,99,99
Kazakhstan,63.9,58.4,69.7,67.4,62.6,72.4,71.1,66.8,75.3,97,97,97,72,94,85,98,97,97,84,97,91,99,97,98,91,98,95
Kenya,53.2,52.3,54.1,62.9,61.5,64.2,66.7,64.4,68.9,33,36,34,37,88,47,30,35,31,45,86,54,27,35,29,49,85,58
Kiribati,64.1,61.6,66.4,65.9,63.4,68.2,66.1,63.6,68.6,0,0,24,0,0,50,0,0,39,0,0,63,0,0,47,0,0,70
Kuwait,73.3,72.6,74.4,74.1,73.4,75.1,74.8,73.9,76,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
Kyrgyzstan,66.5,62.5,70.7,68.6,64.4,73,71.4,67.7,75.2,92,94,92,73,95,81,97,93,95,78,97,85,99,92,97,82,97,87
